file_id,relative_path,file_name,ext,size_mb,last_modified,type_guess,forno_guess,variable_guess,n_cols,has_timestamp,timestamp_column,encoding_used,notes
20c2f8fa62,dados_iniciais/Corridas/2019_F2_Corrida.csv,2019_F2_Corrida.csv,.csv,0.541,2025-04-30T10:36:54,csv,,Corrida,34,yes,Data_Base,utf-8,
6a4d7a81a0,dados_iniciais/Corridas/2025_F3_Corrida.csv,2025_F3_Corrida.csv,.csv,0.209,2025-04-30T10:40:00,csv,,Corrida,34,yes,Data_Base,utf-8,
5a4f92dc42,dados_iniciais/Corridas/2022_F5_Corrida.csv,2022_F5_Corrida.csv,.csv,0.858,2025-04-30T10:38:50,csv,,Corrida,34,yes,Data_Base,utf-8,
a5dea5a03f,dados_iniciais/Corridas/2025_F5_Corrida.csv,2025_F5_Corrida.csv,.csv,0.272,2025-04-30T10:40:12,csv,,Corrida,34,yes,Data_Base,utf-8,
78080532a9,dados_iniciais/Corridas/2025_F4_Corrida.csv,2025_F4_Corrida.csv,.csv,0.262,2025-04-30T10:40:06,csv,,Corrida,34,yes,Data_Base,utf-8,
9e723cd67d,dados_iniciais/Corridas/2022_F4_Corrida.csv,2022_F4_Corrida.csv,.csv,0.786,2025-04-30T10:38:42,csv,,Corrida,34,yes,Data_Base,utf-8,
08ab9898bb,dados_iniciais/Corridas/2020_F3_Corrida.csv,2020_F3_Corrida.csv,.csv,0.568,2025-04-30T10:37:32,csv,,Corrida,34,yes,Data_Base,utf-8,
70e0243aef,dados_iniciais/Corridas/2021_F4_Corrida.csv,2021_F4_Corrida.csv,.csv,0.889,2025-04-30T10:38:10,csv,,Corrida,34,yes,Data_Base,utf-8,
0320e0676a,dados_iniciais/Corridas/2021_F5_Corrida.csv,2021_F5_Corrida.csv,.csv,0.887,2025-04-30T10:38:18,csv,,Corrida,34,yes,Data_Base,utf-8,
7c12a3e34e,dados_iniciais/Corridas/2022_F3_Corrida.csv,2022_F3_Corrida.csv,.csv,0.564,2025-04-30T10:38:36,csv,,Corrida,34,yes,Data_Base,utf-8,
a6cf492925,dados_iniciais/Corridas/2024_F5_Corrida.csv,2024_F5_Corrida.csv,.csv,0.874,2025-04-30T10:39:44,csv,,Corrida,34,yes,Data_Base,utf-8,
395ba2084b,dados_iniciais/Corridas/2023_F4_Corrida.csv,2023_F4_Corrida.csv,.csv,0.89,2025-04-30T10:39:10,csv,,Corrida,34,yes,Data_Base,utf-8,
550cdc1b31,dados_iniciais/Corridas/2025_F2_Corrida.csv,2025_F2_Corrida.csv,.csv,0.204,2025-04-30T10:39:56,csv,,Corrida,34,yes,Data_Base,utf-8,
7eddc38583,dados_iniciais/Corridas/2020_F2_Corrida.csv,2020_F2_Corrida.csv,.csv,0.586,2025-04-30T10:37:26,csv,,Corrida,34,yes,Data_Base,utf-8,
579f73f3fb,dados_iniciais/Corridas/2018_F1_Corrida.csv,2018_F1_Corrida.csv,.csv,0.603,2025-04-30T10:36:16,csv,,Corrida,34,yes,Data_Base,utf-8,
9615f5bef8,dados_iniciais/Corridas/2019_F1_Corrida.csv,2019_F1_Corrida.csv,.csv,0.586,2025-04-30T10:36:46,csv,,Corrida,34,yes,Data_Base,utf-8,
763d50d43c,dados_iniciais/Corridas/2019_F3_Corrida.csv,2019_F3_Corrida.csv,.csv,0.453,2025-04-30T10:37:00,csv,,Corrida,34,yes,Data_Base,utf-8,
134e5fcc8d,dados_iniciais/Corridas/2023_F2_Corrida.csv,2023_F2_Corrida.csv,.csv,0.644,2025-04-30T10:39:00,csv,,Corrida,35,yes,Data_Base,utf-8,
2248937209,dados_iniciais/Corridas/2023_F1_Corrida.csv,2023_F1_Corrida.csv,.csv,0.643,2025-04-30T10:38:54,csv,,Corrida,34,yes,Data_Base,utf-8,
6d2e777e7b,dados_iniciais/Corridas/2019_F4_Corrida.csv,2019_F4_Corrida.csv,.csv,0.611,2025-04-30T10:37:08,csv,,Corrida,34,yes,Data_Base,utf-8,
d7be3a746c,dados_iniciais/Corridas/2019_F5_Corrida.csv,2019_F5_Corrida.csv,.csv,0.599,2025-04-30T10:37:14,csv,,Corrida,34,yes,Data_Base,utf-8,
79189e912a,dados_iniciais/Corridas/2025_F1_Corrida.csv,2025_F1_Corrida.csv,.csv,0.192,2025-04-30T10:39:50,csv,,Corrida,34,yes,Data_Base,utf-8,
